email; subject; message

john.smith@test.com;Meeting Update;The meeting has been moved to 3 PM
emma.wilson@test.com;Invoice Reminder;Please review the attached invoice
michael.brown@test.com;Project Status;The project is currently on schedule
sophia.jones@test.com;Welcome;Welcome to our new platform
david.miller@test.com;Password Reset;Click the link to reset your password
olivia.davis@test.com;Holiday Notice;Office will remain closed on Friday
james.garcia@test.com;Subscription Renewal;Your subscription expires next week
isabella.moore@test.com;Feedback Request;Please share your experience with us
william.taylor@test.com;Event Invitation;You are invited to our annual event
ava.anderson@test.com;Account Verification;Verify your account using the OTP sent
